Cidade;UF;Tabua_mares
Guarujá;SP;so-paulo/guaruja
Santos;SP;so-paulo/santos
Ubatuba;SP;so-paulo/ubatuba
Bertioga;SP;so-paulo/bertioga
Peruíbe;SP;so-paulo/peruibe
Rio de Janeiro;RJ;rio-de-janeiro/rio-de-janeiro
Niterói;RJ;rio-de-janeiro/niteroi
Búzios;RJ;rio-de-janeiro/armacao-dos-buzios
Cabo Frio;RJ;rio-de-janeiro/cabo-frio
Vitória;ES;espirito-santo/vitoria
Natal;RN;rio-de-janeiro/angra-dos-reis
Recife;PE;pernambuco/recife
Salvador;BA;bahia/salvador
Trancoso;BA;bahia/trancoso
Fortaleza;CE;ceara/fortaleza
São Luis;MA;maranhao/sao-luis
Maceió;AL;alagoas/maceio
João Pessoa;PB;paraiba/joao-pessoa
Aracaju;SE;sergipe/aracaju
Macapá;AP;amapa/amapa
Florianópolis;SC;santa-catarina/florianopolis
